"67","ファング・ソール","射撃+30 HP+10 PP+2"
"68","スノウ・ソール","打防+30 HP+20 PP+1"
"69","ラッピー・ソール","技量+30 PP+4"
"70","モデュレイター","打撃+30
射撃+30
法撃+30"
"71","ミューテーションⅠ","特定の合成確率が上昇
打撃+10 射撃+10
法撃+10　HP+10"
"72","ウィンクルム","打撃+20 射撃+20
法撃+20"
"73","ランサ・ソール","射撃+30 HP+20"
"74","スティグマ","PP+5　技量+20"
"75","フォトンコレクト","状態異常と属性耐性の
合成確率を上昇させる
ステータス上昇なし"
"76","シュレイダ・ソール","法防+30 HP+10 PP+3"
"77","クローム・ソール","技量+30 HP+10 PP+3"
"78","ゴロン・ソール","法防+30 PP+4"
"79","エクス・ソール","打防+30 PP+4"
"80","アルター・アルマ","HP+30 打撃+20"
"81","アルター・ティロ","HP+30 射撃+20"
"82","アルター・マギア","HP+30 法撃+20"
"83","フリクト・アルマ","PP+3 打撃+20"
"84","フリクト・ティロ","PP+3 射撃+20"
"85","フリクト・マギア","PP+3 法撃+20"
"86","ペルソナ・ソール","射防+30 HP+10 PP+3"
"87","クーガー・ソール","打撃+15 射撃+15
法撃+15 技量+15
HP+10 PP+2"
"88","オルグ・ソール","打撃+20 射撃+20
HP+10"
"89","バル・ソール","射撃+20 法撃+20
HP+10"
"90","リンガ・ソール","打撃+20 法撃+20
HP+10"
"91","ソーマ・ソール","打撃+20 射撃+20
PP+2"
"92","タガミカヅチ・ソール","射撃+20 法撃+20
PP+2"
"93","マリューダ・ソール","打撃+20 法撃+20
PP+2"
"94","メデューナ・ソール","打撃+20 射撃+20
HP+5 PP+1"
"95","ビブラス・ソール","射撃+20 法撃+20
HP+5 PP+1"
"96","ルーサー・ソール","打撃+20 法撃+20
HP+5 PP+1"
"97","リーリー・ソール","打撃+20 打防+20
HP+20"
"98","ラタン・フィーバー","法撃+10 技量+5
PP+2"
"99","セント・フィーバー","射撃+10 技量+5
PP+2"
"100","ラブ・フィーバー","打撃+10 技量+5
PP+2"
"101","ラヴィ・フィーバー","打撃+10 技量+5
HP+10"
"102","エグ・フィーバー","射撃+10 技量+5
HP+10"
"103","フログ・フィーバー","法撃+10 技量+5
HP+10"
"104","サマー・フィーバー","法撃+10 技量+5
HP+5 PP+1"
"105","リターナーⅠ","全+3 HP+3 PP+1"
"106","リターナーⅡ","全+5 HP+5 PP+2"
"107","リターナーⅢ","全+10 HP+10 PP+3"
"108","リターナーⅣ","全+15 HP+15 PP+4"
"109","リターナーⅤ","全+30 HP+30 PP+5"
"110","ドラゴン・フィーバー","射撃+10 技量+5
PP+2"
"111","エレファント・フィーバー","打撃+10 技量+5
HP+10"
"112","ソールレセプター","ソール系特殊能力の
継承成功率を大幅に上昇
全+10"
"113","マーク・ジョイオ","打撃+40 射撃+40
法撃+40 HP+50"
"114","マーク・カレジナ","打撃+40 射撃+40
法撃+40 PP+5"
"115","マーク・アンガル","打撃+50 射撃+50
法撃+50 技量+40"
"116","マーク・グリフ","打防+50 射防+50
法防+50 HP+80"
"117","ナイトギア・ソール","打撃+15 射撃+15
法撃+15 技量+15 PP+4"
"118","グンネ・ソール","打撃+15 HP+45"
"119","イーデッタ・ソール","射撃+15 HP+45"
"120","ジャドゥ・ソール","法撃+15 HP+45"
"121","ENT_02ソール","---"
"122","ジグモル・ソール","打撃+15 PP+4"
"123","マドゥ・ソール","射撃+15 PP+4"
"124","ネプト・ソール","法撃+15 PP+4"
"125","ニャウ・ソール","技量+15 PP+4"
"126","ギフトレセプター","ギフト系特殊能力の
引き継ぎが可能になる
全+10"
"127","セレモ・フィーバー","打撃+10 技量+5
HP+5 PP+1"
"128","ノイヤ・フィーバー","射撃+10 技量+5
HP+5 PP+1"
"129","ルーナ・フィーバー","法撃+10 HP+10 PP+1"
"130","トロクロ・フィーバー","技量+15 HP+5 PP+1"
"131","サクラ・フィーバー","打防+10 技量+5
HP+5 PP+1"
"132","ソニック・フィーバー","打撃+10 射防+10
HP+5 PP+1"
"133","サンサン・フィーバー","打撃+5 射撃+5
法撃+5 HP+5 PP+1"
"134","アクス・フィーバー","打撃+5 射撃+5
法撃+5 技量+5
PP+5"
"135","ENT_フィーバー08","---"
"136","アンガ・ソール","打撃+20 射撃+20
法撃+20 PP+4"
"137","デッドリオン・ソール","打撃+35 技量+5
HP+30"
"138","レオパード・ソール","射撃+35 技量+5
HP+30"
"139","ディアボ・ソール","法撃+35 技量+5
HP+30"
"140","レオーネ・ソール","打撃+35 技量+5
HP+20 PP+1"
"141","ジオーグ・ソール","射撃+35 技量+5
HP+20 PP+1"
"142","ドゥバルス・ソール","法撃+35 技量+5
HP+20 PP+1"
"143","ベーアリ・ソール","打撃+35 技量+5
PP+3"
"144","グリュゾラス・ソール","射撃+35 技量+5
PP+3"
"145","グランゾ・ソール","法撃+35 技量+5
PP+3"
"146","マガツ・ソール","打防+15 射防+15
法防+15 HP+30 PP+3"
"147","ノーブル・パワー","PP+3 打撃+30"
"148","ノーブル・シュート","PP+3 射撃+30"
"149","ノーブル・テクニック","PP+3 法撃+30"
"150","ノーブル・スタミナ","HP+50 PP+3"
"151","-","---"
"152","-","---"
"153","-","---"
"154","-","---"
"155","-","---"
"156","-","---"
"157","-","---"
"158","-","---"
"159","-","---"
"160","-","---"
"161","-","---"
"162","-","---"
"163","-","---"
"164","-","---"
"165","-","---"
"166","アプレンティス・ソール","打撃+40 射撃+40
法撃+40"
"167","グリフォン・ソール","打撃+15 射撃+15
法撃+15 技量+15
HP+5 PP+3"
"168","シノワ・ソール","打撃+5 技量+30
HP+25 PP+2"
"169","スピリタ・アルファ","技量+30 PP+3"
"170","-","---"
"171","-","---"
"172","-","---"
"173","-","---"
"174","-","---"
"175","ダブル・ソール","HP+40 PP+3"
"176","ダークネス・ソール","全+15 HP+15 PP+2"
"177","アストラル・ソール","全+35 HP+35 PP+5"
"178","ソール・カタリスト","4つ集めると
特定のソールと合成可能
HP+10 PP+1"
"179","打撃アップ","---"
"180","射撃アップ","---"
"181","法撃アップ","---"
"182","技量アップ","---"
"183","ＨＰアップ","---"
"184","ＰＰアップ","---"
"185","打撃ＨＰアップ","---"
"186","射撃ＨＰアップ","---"
"187","法撃ＨＰアップ","---"
"188","技量ＨＰアップ","---"
"189","打撃ＰＰアップ","---"
"190","射撃ＰＰアップ","---"
"191","法撃ＰＰアップ","---"
"192","技量ＰＰアップ","---"
"193","ＨＰＰＰアップ","---"
"194","ＰＰＨＰアップ","---"
"195","打撃射撃アップ","---"
"196","打撃法撃アップ","---"
"197","打撃技量アップ","---"
"198","射撃法撃アップ","---"
"199","射撃技量アップ","---"
"200","法撃技量アップ","---"
"201","トウオウ・ソール","特定のソールと合成可能
全+10"
"202","アクト・ジ・ソール","打撃+35 PP+3"
"203","ティル・ジ・ソール","射撃+35 PP+3"
"204","マギー・ジ・ソール","法撃+35 PP+3"
"205","ミューテーションⅡ","特定の合成確率が上昇
打撃+15 射撃+15
法撃+15　HP+15"
"206","ペットスタミナⅠ","---"
"207","ペットスタミナⅡ","---"
"208","ペットスタミナⅢ","---"
"209","ペットボディⅠ","---"
"210","ペットボディⅡ","---"
"211","ペットボディⅢ","---"
"212","ペットリアクトⅠ","---"
"213","ペットリアクトⅡ","---"
"214","ペットリアクトⅢ","---"
"215","ペットマインドⅠ","---"
"216","ペットマインドⅡ","---"
"217","ペットマインドⅢ","---"
"218","ヤマト・ファクター","打撃+10 射撃+20
法撃+10 HP+20 PP+1"
"219","オフェンス・ブースト","打撃+15 射撃+15
法撃+15 技量+25 PP+1"
"220","ディフェンス・ブースト","打防+25 射防+25
法防+25 HP+55 PP+1"
"221","アタックレセプター","攻撃上昇特殊能力3種と
アームの継承成功率を
大幅に上昇　　　全+5"
"222","ガードレセプター","特殊能力ボディ、リアクト
マインドの継承成功率を
大幅に上昇　　　全+5"
"223","フォトンレセプター","特殊能力スタミナと
スピリタの継承成功率を
大幅に上昇　　　全+5"
"224","ドゥームブレイクⅠ","打撃+15 射撃+15
法撃+15 PP+2"
"225","テノラ・ブースト","打撃+35"
"226","ＧＲＭ・ブースト","射撃+35"
"227","ヨウメイ・ブースト","法撃+35"
"228","フルベガス・ソール","特定のソールと合成可能
打撃+15 射撃+15
法撃+15"
"229","エクストレセプター","アルター、フリクト系と
特定の特殊能力継承率を
大幅に上昇　全+10"
"230","エレガント・パワー","打撃+40 PP+4"
"231","エレガント・シュート","射撃+40 PP+4"
"232","エレガント・テクニック","法撃+40 PP+4"
"233","エレガント・スタミナ","HP+70 PP+4"
"234","ネッキー・スマイル","打撃+5 射撃+5
法撃+5 PP+2"
"235","打射法撃ＰＰアップ","---"
"236","イザネカヅチ・ソール","打撃+20 射撃+20
法撃+20 PP+2"
"237","マザー・ファクター","打撃+10 射撃+10
法撃+20 HP+20 PP+1"
"238","エスカード・ソール","特定のソールと合成可能
打撃+10 射撃+10
法撃+10 技量+20"
"239","センテンス・パワー","打撃+20 PP+4"
"240","センテンス・シュート","射撃+20 PP+4"
"241","センテンス・テクニック","法撃+20 PP+4"
"242","バトルソードⅠ","HP+100"
"243","バトルソードⅡ","HP+175"
"244","バトルソードⅢ","HP+250"
"245","バトルライフルⅠ","---"
"246","バトルライフルⅡ","HP+50"
"247","バトルライフルⅢ","HP+100"
"248","バトルロッドⅠ","---"
"249","バトルロッドⅡ","HP+30"
"250","バトルロッドⅢ","HP+70"
"251","バトルパルチザンⅠ","HP+100"
"252","バトルパルチザンⅡ","HP+175"
"253","バトルパルチザンⅢ","HP+250"
"254","バトルＴマシンガンⅠ","---"
"255","バトルＴマシンガンⅡ","HP+50"
"256","バトルＴマシンガンⅢ","HP+100"
"257","バトルボウⅠ","---"
"258","バトルボウⅡ","HP+50"
"259","バトルボウⅢ","HP+100"
"260","poka19","---"
"261","マークレセプター","マーク系特殊能力の
継承成功率を大幅に上昇
全+10"
"262","フレイズレセプター","フレイズ系特殊能力の
継承成功率を大幅に上昇
全+10"
"263","センテンスレセプター","センテンス系特殊能力の
継承成功率を大幅に上昇
全+10"
"264","センテンス・トリプル","打撃+30
射撃+30
法撃+30"
"265","デウス・ファクター","打撃+20 射撃+10
法撃+10 HP+20 PP+1"
"266","ファクター・カタリスト","4つ集めると
特定のソールと合成可能
HP+10 PP+1"
"267","エーテル・ソール","全+15 HP+15 PP+2"
"268","エーテル・ファクター","全+30 HP+10 PP+6"
"269","パワーⅥ","打撃+45"
"270","シュートⅥ","射撃+45"
"271","テクニックⅥ","法撃+45"
"272","オメガ・レヴリー","打撃+15 射撃+15
法撃+15 HP+20 PP+1"
"273","ファーブラ・ソール","打撃+10 射撃+10
法撃+10 HP+20"
"274","アレス・ジ・ソール","打撃+25 射撃+25
法撃+25 HP+35 PP+3"
"275","スピリタⅥ","PP+7"
"276","センテンス・アルマ","打撃+20 HP+20 PP+3"
"277","センテンス・ティロ","射撃+20 HP+20 PP+3"
"278","センテンス・マギア","法撃+20 HP+20 PP+3"
"279","アクス・ＭＡＸ","打撃+25 射撃+25
法撃+25"
"280","エルダー・レヴリー","打撃+40 射撃+20
法撃+20 PP-2"
"281","ファクターレセプター","ファクター系特殊能力の
継承成功率を大幅に上昇
全+10"
"282","バトルＴダガーⅠ","HP+25"
"283","バトルＴダガーⅡ","HP+50"
"284","バトルＴダガーⅢ","HP+100"
"285","バトルＤブレードⅠ","HP+25"
"286","バトルＤブレードⅡ","HP+50"
"287","バトルＤブレードⅢ","HP+100"
"288","バトルタリスⅠ","HP+50"
"289","バトルタリスⅡ","HP+100"
"290","バトルタリスⅢ","HP+150"
"291","イストリア・ソール","打防+25 射防+25
法防+25 HP+30 PP+2"
"292","グレース・パワー","打撃+50 PP+5"
"293","グレース・シュート","射撃+50 PP+5"
"294","グレース・テクニック","法撃+50 PP+5"
"295","グレース・スタミナ","HP+80 PP+5"
"296","ルーサー・レヴリー","打撃+20 射撃+20
法撃+40 HP-20"
"297","アプレジナ・レヴリー","打撃+20 射撃+40
法撃+20 HP-10 PP-1"
"298","レッサーパワーⅠ","打撃+5"
"299","レッサーパワーⅡ","打撃+15"
"300","レッサーパワーⅢ","打撃+25"
"301","レッサーパワーⅣ","打撃+30"
"302","レッサーパワーⅤ","打撃+35"
"303","レッサーシュートⅠ","射撃+5"
"304","レッサーシュートⅡ","射撃+15"
"305","レッサーシュートⅢ","射撃+25"
"306","レッサーシュートⅣ","射撃+30"
"307","レッサーシュートⅤ","射撃+35"
"308","レッサーテクニックⅠ","法撃+5"
"309","レッサーテクニックⅡ","法撃+15"
"310","レッサーテクニックⅢ","法撃+25"
"311","レッサーテクニックⅣ","法撃+30"
"312","レッサーテクニックⅤ","法撃+35"
"313","レッサースタミナⅠ","HP+15"
"314","レッサースタミナⅡ","HP+35"
"315","レッサースタミナⅢ","HP+45"
"316","レッサースタミナⅣ","HP+55"
"317","レッサースタミナⅤ","HP+65"
"318","レッサースピリタⅠ","PP+1"
"319","レッサースピリタⅡ","PP+2"
"320","レッサースピリタⅢ","PP+3"
"321","レッサースピリタⅣ","PP+4"
"322","レッサースピリタⅤ","PP+5"
"323","ＥＶ・パワーＨＰ","打撃+35 HP+60"
"324","ＥＶ・パワーＰＰ","打撃+35 PP+4"
"325","ＥＶ・シュートＨＰ","射撃+35 HP+60"
"326","ＥＶ・シュートＰＰ","射撃+35 PP+4"
"327","ＥＶ・テクニックＨＰ","法撃+35 HP+60"
"328","ＥＶ・テクニックＰＰ","法撃+35 PP+4"
"329","ダブル・レヴリー","打撃-20 射撃-20
法撃-20 HP+50 PP+5"
"330","バトルナックルⅠ","HP+100"
"331","バトルナックルⅡ","HP+175"
"332","バトルナックルⅢ","HP+250"
"333","ドゥームブレイクⅡ","打撃+25 射撃+25
法撃+25 PP+3"
"334","ペルソナ・レヴリー","打撃+40 射撃+40
法撃+40 打防-20
射防-20 法防-20"
"335","レヴリー・カタリスト","4つ集めると
オメガ・メモリアと合成可能
HP+10 PP+1"
"336","オメガ・メモリア","全+15 HP+15 PP+2"
"337","マナ・レヴリー","打撃+50 射撃+50
法撃+50 HP+20 PP+4"
"338","イクスアクト・ソール","打撃+30 打防+20
射防+20 法防+20
HP+20 PP+2"
"339","イクスティル・ソール","射撃+30 打防+20
射防+20 法防+20
HP+20 PP+2"
"340","イクスマギー・ソール","法撃+30 打防+20
射防+20 法防+20
HP+20 PP+2"
"341","イクスアレス・ソール","打撃+20 射撃+20
法撃+20 打防+20
射防+20 法防+20
HP+50 PP+2"
"342","イクシード・エナジー","打撃+50 射撃+50
法撃+50 技量+20
打防+20 射防+20
法防+20 HP+20 PP+5"
"343","アタック・ブースト","打撃+25 射撃+25
法撃+25 技量+40
PP+3"
"344","ガード・ブースト","打防+35 射防+35
法防+35 HP+75
PP+3"
"345","ディバイン・ウィル","打撃+20 射撃+20
法撃+20 PP+5"
"346","ディバイン・オーダー","打撃+50 射撃+50
法撃+50 HP+20 PP+10"
"347","クラックⅠ","打撃+3 射撃+3
法撃+3 打防+5
射防+5 法防+5
HP+5 PP+1"
"348","クラックⅡ","打撃+5 射撃+5
法撃+5 打防+10
射防+10 法防+10
HP+10 PP+1"
"349","クラックⅢ","打撃+10 射撃+10
法撃+10 打防+15
射防+15 法防+15
HP+15 PP+1"
"350","クラックⅣ","打撃+15 射撃+15
法撃+15 打防+30
射防+30 法防+30
HP+30 PP+2"
"351","クラックⅤ","打撃+30 射撃+30
法撃+30 打防+50
射防+50 法防+50
HP+50 PP+2"
"352","グランド・スタミナ","HP+100 PP+6"
"353","グランド・スピリタ","PP+15"
"354","グランド・パワー","打撃+60 HP+20
PP+5"
"355","グランド・シュート","射撃+60 HP+20
PP+5"
"356","グランド・テクニック","法撃+60 HP+20
PP+5"
"357","カタリストレセプター","カタリスト系特殊能力の
継承成功率を大幅に上昇
全+10"
"358","アンジュール・グレア","打撃+30 打防+40
射防+20 法防+20"
"359","ベルージュ・グレア","射撃+30 打防+20
射防+40 法防+20"
"360","ドゥミヌス・グレア","法撃+30 打防+20
射防+20 法防+40"
"361","スタミナⅥ","HP+80"
"362","フォードルス・グレア","打防+35 射防+35
法防+35 HP+40 PP+4"
"363","ドゥームブレイクⅢ","打撃+30 射撃+30
法撃+30 PP+4"
"364","ディバインレセプター","ディバイン系特殊能力の
継承成功率を大幅に上昇
全+10"
"365","イクシードレセプター","イクシード系特殊能力の
継承成功率を大幅に上昇
全+10"
"366","バトルブーツⅠ","-"
"367","バトルブーツⅡ","HP+10"
"368","バトルブーツⅢ","HP+30"
"369","エクゼクル・グレア","打撃+20 射撃+20
法撃+20 打防+50
射防+50 法防+50"
"370","ミトラ・グレア","打撃+30 射撃+30
打防+20 射防+20
法防+20 HP+20 PP+2"
"371","ヴァルナ・グレア","打撃+30 法撃+30
打防+20 射防+20
法防+20 HP+20 PP+2"
"372","シバ・グレア","射撃+30 法撃+30
打防+20 射防+20
法防+20 HP+20 PP+2"
"373","オリジン・グレア","打撃+30 射撃+30
法撃+30 打防+10
射防+10 法防+10
HP+20 PP+2"
"374","フォトナー・グレア","全+15 HP+15 PP+2"
"375","グレア・カタリスト","4つ集めると
フォトナー・グレアと
合成可能
HP+10 PP+1"
"376","アブソリュート・グレア","全+40 HP+30 PP+3"
"377","ガーディアン・ソール","全+70 HP+70 PP+7"
"0","バーンⅠ","バーンLv.1を付与する"
"1","バーンⅡ","バーンLv.2を付与する"
"2","バーンⅢ","バーンLv.3を付与する"
"3","バーンⅣ","バーンLv.4を付与する"
"4","バーンⅤ","バーンLv.5を付与する"
"5","フリーズⅠ","フリーズLv.1を付与する"
"6","フリーズⅡ","フリーズLv.2を付与する"
"7","フリーズⅢ","フリーズLv.3を付与する"
"8","フリーズⅣ","フリーズLv.4を付与する"
"9","フリーズⅤ","フリーズLv.5を付与する"
"10","ショックⅠ","ショックLv.1を付与する"
"11","ショックⅡ","ショックLv.2を付与する"
"12","ショックⅢ","ショックLv.3を付与する"
"13","ショックⅣ","ショックLv.4を付与する"
"14","ショックⅤ","ショックLv.5を付与する"
"15","ミラージュⅠ","ミラージュLv.1を付与する"
"16","ミラージュⅡ","ミラージュLv.2を付与する"
"17","ミラージュⅢ","ミラージュLv.3を付与する"
"18","ミラージュⅣ","ミラージュLv.4を付与する"
"19","ミラージュⅤ","ミラージュLv.5を付与する"
"20","ポイズンⅠ","ポイズンLv.1を付与する"
"21","ポイズンⅡ","ポイズンLv.2を付与する"
"22","ポイズンⅢ","ポイズンLv.3を付与する"
"23","ポイズンⅣ","ポイズンLv.4を付与する"
"24","ポイズンⅤ","ポイズンLv.5を付与する"
"25","パニックⅠ","パニックLv.1を付与する"
"26","パニックⅡ","パニックLv.2を付与する"
"27","パニックⅢ","パニックLv.3を付与する"
"28","パニックⅣ","パニックLv.4を付与する"
"29","パニックⅤ","パニックLv.5を付与する"
"30","ENT_ABNダミー30","-"
"31","ENT_ABNダミー31","-"
"32","ENT_ABNダミー32","-"
"33","ENT_ABNダミー33","-"
"34","ENT_ABNダミー34","-"
"35","ENT_ABNダミー35","-"
"36","ENT_ABNダミー36","-"
"37","ENT_ABNダミー37","-"
"38","ENT_ABNダミー38","-"
"39","ENT_ABNダミー39","-"
"40","ENT_ABNダミー40","-"
"41","ENT_ABNダミー41","-"
"42","ENT_ABNダミー42","-"
"43","ENT_ABNダミー43","-"
"44","ENT_ABNダミー44","-"
"45","ENT_ABNダミー45","-"
"46","ENT_ABNダミー46","-"
"47","ENT_ABNダミー47","-"
"48","ENT_ABNダミー48","-"
"49","ENT_ABNダミー49","-"
"50","ENT_ABNダミー50","-"
"51","ENT_ABNダミー51","-"
"52","ENT_ABNダミー52","-"
"53","ENT_ABNダミー53","-"
"54","ENT_ABNダミー54","-"
"0","ブロウレジストⅠ","打撃軽減+3"
"1","ブロウレジストⅡ","打撃軽減+4"
"2","ブロウレジストⅢ","打撃軽減+5"
"3","ブロウレジストⅣ","打撃軽減+6"
"4","ブロウレジストⅤ","打撃軽減+7"
"5","ショットレジストⅠ","射撃軽減+3"
"6","ショットレジストⅡ","射撃軽減+4"
"7","ショットレジストⅢ","射撃軽減+5"
"8","ショットレジストⅣ","射撃軽減+6"
"9","ショットレジストⅤ","射撃軽減+7"
"10","マインドレジストⅠ","法撃軽減+3"
"11","マインドレジストⅡ","法撃軽減+4"
"12","マインドレジストⅢ","法撃軽減+5"
"13","マインドレジストⅣ","法撃軽減+6"
"14","マインドレジストⅤ","法撃軽減+7"
"15","フレイムレジストⅠ","炎耐性+3"
"16","フレイムレジストⅡ","炎耐性+4"
"17","フレイムレジストⅢ","炎耐性+5"
"18","フレイムレジストⅣ","炎耐性+6"
"19","フレイムレジストⅤ","炎耐性+7"
"20","アイスレジストⅠ","氷耐性+3"
"21","アイスレジストⅡ","氷耐性+4"
"22","アイスレジストⅢ","氷耐性+5"
"23","アイスレジストⅣ","氷耐性+6"
"24","アイスレジストⅤ","氷耐性+7"
"25","ショックレジストⅠ","雷耐性+3"
"26","ショックレジストⅡ","雷耐性+4"
"27","ショックレジストⅢ","雷耐性+5"
"28","ショックレジストⅣ","雷耐性+6"
"29","ショックレジストⅤ","雷耐性+7"
"30","ウィンドレジストⅠ","風耐性+3"
"31","ウィンドレジストⅡ","風耐性+4"
"32","ウィンドレジストⅢ","風耐性+5"
"33","ウィンドレジストⅣ","風耐性+6"
"34","ウィンドレジストⅤ","風耐性+7"
"35","ライトレジストⅠ","光耐性+3"
"36","ライトレジストⅡ","光耐性+4"
"37","ライトレジストⅢ","光耐性+5"
"38","ライトレジストⅣ","光耐性+6"
"39","ライトレジストⅤ","光耐性+7"
"40","グルームレジストⅠ","闇耐性+3"
"41","グルームレジストⅡ","闇耐性+4"
"42","グルームレジストⅢ","闇耐性+5"
"43","グルームレジストⅣ","闇耐性+6"
"44","グルームレジストⅤ","闇耐性+7"
"45","オールレジストⅠ","全耐性/全軽減+1"
"46","オールレジストⅡ","全耐性/全軽減+2"
"47","オールレジストⅢ","全耐性/全軽減+3"
"48","オールレジストⅣ","全耐性/全軽減+4"
"49","オールレジストⅤ","全耐性/全軽減+5"
"50","-","---"
"51","-","---"
"52","-","---"
"53","-","---"
"54","-","---"
"55","-","---"
"56","-","---"
"57","-","---"
"58","-","---"
"59","-","---"
"60","-","---"
"61","-","---"
"62","-","---"
"63","-","---"
"64","-","---"
"65","-","---"
"66","-","---"
"67","-","---"
"68","-","---"
"69","-","---"
"0","ENT_SPダミー0","-"
"1","ENT_SPダミー1","-"
"2","ENT_SPダミー2","-"
"3","ENT_SPダミー3","-"
"4","ENT_SPダミー4","-"
"5","ENT_SPダミー5","-"
"6","ENT_SPダミー6","-"
"7","ENT_SPダミー7","-"
"8","ENT_SPダミー8","-"
"9","ENT_SPダミー9","-"
"10","ENT_SPダミー10","-"
"11","ENT_SPダミー11","-"
"12","ENT_SPダミー12","-"
"13","ENT_SPダミー13","-"
"14","ENT_SPダミー14","-"
"15","ENT_SPダミー15","-"
"16","ENT_SPダミー16","-"
"17","ENT_SPダミー17","-"
"18","ENT_SPダミー18","-"
"19","ENT_SPダミー19","-"
"20","ENT_SPダミー20","-"
"21","ENT_SPダミー21","-"
"22","ENT_SPダミー22","-"
"23","ENT_SPダミー23","-"
"24","ENT_SPダミー24","-"
"25","ENT_SPダミー25","-"
"26","ENT_SPダミー26","-"
"27","ENT_SPダミー27","-"
"28","ENT_SPダミー28","-"
"29","ENT_SPダミー29","-"
"30","ENT_SPダミー30","-"
"31","ENT_SPダミー31","-"
"32","ENT_SPダミー32","-"
"33","ENT_SPダミー33","-"
"34","ENT_SPダミー34","-"
"35","ENT_SPダミー35","-"
"36","ENT_SPダミー36","-"
"37","ENT_SPダミー37","-"
"38","ENT_SPダミー38","-"
"39","ENT_SPダミー39","-"
"40","ENT_SPダミー40","-"
"41","ENT_SPダミー41","-"
"42","ENT_SPダミー42","-"
"43","ENT_SPダミー43","-"
"44","ENT_SPダミー44","-"
"45","ENT_SPダミー45","-"
"46","ENT_SPダミー46","-"
"47","ENT_SPダミー47","-"
"48","ENT_SPダミー48","-"
"49","ENT_SPダミー49","-"
"50","ENT_SPダミー50","-"
"51","ENT_SPダミー51","-"
"52","ENT_SPダミー52","-"
"53","ENT_SPダミー53","-"
"54","ENT_SPダミー54","-"
"55","ENT_SPダミー55","-"
"56","ENT_SPダミー56","-"
"57","ENT_SPダミー57","-"
"58","ENT_SPダミー58","-"
"59","ENT_SPダミー59","-"
"60","ENT_SPダミー60","-"
"61","ENT_SPダミー61","-"
"62","ENT_SPダミー62","-"
"63","ENT_SPダミー63","-"
"64","ENT_SPダミー64","-"
"65","ENT_SPダミー65","-"
"66","ENT_SPダミー66","-"
"67","ENT_SPダミー67","-"
"68","ENT_SPダミー68","-"
"69","ENT_SPダミー69","-"
"70","ENT_SPダミー70","-"
"71","ENT_SPダミー71","-"
"72","ENT_SPダミー72","-"
"73","ENT_SPダミー73","-"
"74","ENT_SPダミー74","-"
"75","ENT_SPダミー75","-"
"76","ENT_SPダミー76","-"
"77","ENT_SPダミー77","-"
"78","ENT_SPダミー78","-"
"79","ENT_SPダミー79","-"
"80","ENT_SPダミー80","-"
"81","ENT_SPダミー81","-"
"82","ENT_SPダミー82","-"
"83","ENT_SPダミー83","-"
"84","ENT_SPダミー84","-"
